Date,Line,Station,Total,Store Value Card,Token,Trip Card,Tourist Card,Group Ticket,NCMC Card,Paper QR,Mobile QR,Static QR,WhatsApp QR,Paytm QR,PhonePe QR,ONDC-RedBus QR,ONDC-Rapido QR,ONDC-Namma Yatri QR
2025-01-20,1,WIMCO NAGAR DEPOT,5328,2236,0,0,2,0,1615,924,33,65,187,153,86,10,11,1
2025-01-20,1,WIMCO NAGAR METRO,5342,1865,0,0,7,0,1750,807,91,115,334,174,148,23,11,3
2025-01-20,1,THIRUVOTRIYUR THERADI METRO,5162,1456,0,0,6,0,1895,1034,65,135,237,162,124,22,18,0
2025-01-20,1,THIRUVOTRIYUR METRO,4473,1286,0,0,5,0,1887,751,54,86,172,97,117,9,5,0
2025-01-20,1,KALADIPET METRO,5102,1510,0,0,0,0,2165,782,59,94,207,119,132,14,13,2
2025-01-20,1,TOLLGATE METRO,2458,993,0,0,3,0,813,406,17,36,75,35,69,7,3,0
2025-01-20,1,NEW WASHERMENPET METRO,4469,1156,0,0,3,0,1905,852,50,80,185,119,85,13,16,1
2025-01-20,1,TONDIARPET METRO,6135,2171,0,0,5,0,1935,1298,40,86,225,201,121,22,19,3
2025-01-20,1,THIYAGARAYA COLLEGE METRO,6524,2401,0,0,0,0,2036,1355,58,86,274,158,89,29,24,6
2025-01-20,1,WASHERMANPET,7786,2453,0,0,0,0,2737,1488,85,151,404,219,153,40,41,1
2025-01-20,1,MANNADI,5854,1999,0,0,8,0,2070,1059,41,84,230,183,127,27,20,1
2025-01-20,1,HIGH COURT,11430,4575,0,0,8,0,3142,2319,92,238,468,253,242,42,33,1
2025-01-20,1,CENTRAL  METRO,18585,4462,67,0,14,0,4898,4087,375,695,1541,1176,972,138,101,7
2025-01-20,1,GOVERNMENT ESTATE,8725,2714,0,0,3,0,2764,1649,115,164,469,412,294,51,50,6
2025-01-20,1,LIC,9321,3579,0,0,8,0,3169,990,125,199,532,356,227,53,51,4
2025-01-20,1,THOUSAND LIGHT,14960,5136,0,0,7,0,5816,1239,181,332,946,568,476,124,83,8
2025-01-20,1,AG-DMS,8563,3218,0,0,2,0,3030,1030,88,215,446,262,190,32,25,2
2025-01-20,1,TEYNAMPET,9296,2757,0,0,11,0,3679,1099,100,230,558,363,313,72,64,6
2025-01-20,1,NANDANAM,7221,2155,0,0,3,0,2899,823,94,150,419,314,245,67,33,2
2025-01-20,1,SAIDAPET,4702,1437,0,0,3,0,1554,773,52,123,299,202,164,49,34,0
2025-01-20,1,LITTLE MOUNT,7412,2209,0,0,2,0,2685,946,144,227,547,272,251,60,38,9
2025-01-20,1,GUINDY,17286,4800,0,0,7,0,5251,2914,301,573,1483,917,718,167,85,7
2025-01-20,1,ALANDUR,5677,2326,0,0,0,0,1704,742,66,127,326,174,126,43,24,2
2025-01-20,1,OTA - NANGANALLUR ROAD,2769,1226,0,0,6,0,923,348,25,46,104,35,44,6,3,0
2025-01-20,1,MEENAMBAKKAM,6772,2015,0,0,7,0,2474,1180,77,191,381,213,147,29,33,2
2025-01-20,1,CHENNAI AIRPORT,16726,4137,0,0,35,23,3330,4279,387,938,1452,1019,831,131,95,19
